#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 07 10 50 346  5.1  6.4  2.27 11.43  7.52 303 1020.7  12.6  13.8 999.0 99.0 99.00
2018 01 07 11 50 347  4.9  6.6  2.35 12.90  8.02 285 1020.0  12.6  13.8 999.0 99.0 99.00
2018 01 07 12 50   7  3.7  4.3  2.36 12.90  8.02 290 1019.6  12.3  13.8 999.0 99.0 99.00
2018 01 07 13 50  31  3.3  4.1  2.29 12.12  8.17 297 1019.5  12.5  13.8 999.0 99.0 99.00
2018 01 07 14 50  46  2.6  3.2  2.16 10.81  7.71 307 1019.2  12.2  13.8 999.0 99.0 99.00
2018 01 07 15 50  15  0.5  1.0  2.03 12.90  7.63 301 1019.5  12.2  13.8 999.0 99.0 99.00
2018 01 07 16 50 141  0.7  1.4  1.98 12.12  7.47 287 1019.5  12.8  13.8 999.0 99.0 99.00
2018 01 07 17 50 310  0.4  1.1  1.91 10.81  7.48 303 1019.9  13.2  13.8 999.0 99.0 99.00
2018 01 07 18 50  74  3.7  5.1  1.91 12.12  7.40 308 1019.6  13.4  13.9 999.0 99.0 99.00
2018 01 07 19 50  80  2.1  3.1  2.02 11.43  7.79 307 1018.8  13.5  13.9 999.0 99.0 99.00
2018 01 07 20 50 310  2.0  2.8  1.69 12.90  7.25 314 1018.2  13.6  14.0 999.0 99.0 99.00
2018 01 07 21 50 236  1.0  2.0  1.94 12.12  7.80 295 1017.7  13.4  14.0 999.0 99.0 99.00
2018 01 07 22 50 233  1.8  2.4  1.98 12.12  8.47 308 1017.5  13.3  14.0 999.0 99.0 99.00
2018 01 07 23 50 212  1.9  2.4  1.84 10.81  8.19 286 1017.3  13.2  14.0 999.0 99.0 99.00
2018 01 08 00 50 198  1.2  1.9  2.03 12.12  8.71 295 1017.3  13.1  14.0 999.0 99.0 99.00
2018 01 08 01 50 222  1.1  2.0  1.93 10.00  8.50 293 1017.4  13.1  14.0 999.0 99.0 99.00
2018 01 08 02 50 258  0.8  1.6  1.94 10.81  8.61 292 1016.8  13.3  13.9 999.0 99.0 99.00
2018 01 08 03 50  49  0.8  1.3  1.72 10.00  8.42 303 1016.7  13.3  13.9 999.0 99.0 99.00
2018 01 08 04 50  86  1.5  2.3  1.70 12.12  8.71 318 1016.4  13.1  13.9 999.0 99.0 99.00
2018 01 08 05 50  89  2.4  3.4  1.68 10.81  8.45 295 1016.1  13.2  13.8 999.0 99.0 99.00
2018 01 08 06 50 115  3.1  3.9  1.74 11.43  8.61 314 1015.4  13.3  13.9 999.0 99.0 99.00
2018 01 08 07 50 128  3.8  4.7  1.62 10.81  8.25 301 1015.1  13.3  13.9 999.0 99.0 99.00
2018 01 08 08 50 112  3.5  4.2  1.51 12.12  8.37 289 1014.5  13.5  13.9 999.0 99.0 99.00
2018 01 08 09 50 103  4.1  4.9  1.56 10.00  8.43 288 1013.7  13.5  13.8 999.0 99.0 99.00
2018 01 08 10 50 153  5.2  6.8  1.54  9.09  8.53 258 1013.3  13.4  13.8 999.0 99.0 99.00
2018 01 08 11 50 143  4.9  6.5  1.36  8.33  8.01 268 1012.5  11.9  13.8 999.0 99.0 99.00
2018 01 08 12 50 151  6.3  8.0  1.43 10.81  7.84 273 1011.9  11.9  13.8 999.0 99.0 99.00
2018 01 08 13 50 143  6.6  8.4  1.42  8.33  7.02 250 1011.5  11.7  13.8 999.0 99.0 99.00
2018 01 08 14 50 148  8.0  9.3  1.42 17.39  6.44 293 1010.9  12.5  13.8 999.0 99.0 99.00
2018 01 08 15 50 145  7.8  9.3  1.67 17.39  5.81 284 1010.6  12.8  13.8 999.0 99.0 99.00
2018 01 08 16 50 136  7.9  9.6  1.61 17.39  5.19 288 1010.4  13.0  13.8 999.0 99.0 99.00
2018 01 08 17 50 150  8.1  9.6  1.56 17.39  5.27 254 1010.3  13.6  13.8 999.0 99.0 99.00
2018 01 08 18 50 154 10.1 11.8  1.72 17.39  4.97 268 1009.4  13.8  13.7 999.0 99.0 99.00
2018 01 08 19 50 155 10.8 13.1  2.03  5.26  5.07 166 1008.4  13.9  13.7 999.0 99.0 99.00
2018 01 08 20 50 153  9.1 10.8  1.83 17.39  5.41 269 1007.4  14.0  13.6 999.0 99.0 99.00
2018 01 08 21 50 145  7.9  9.4  1.72 17.39  5.34 286 1006.5  14.0  13.6 999.0 99.0 99.00
2018 01 08 22 50 150 10.0 11.9  1.51 17.39  5.27 269 1005.6  14.1  13.6 999.0 99.0 99.00
2018 01 08 23 50 148  9.3 10.9  1.63 17.39  5.18 315 1005.1  14.1  13.6 999.0 99.0 99.00
2018 01 09 00 50 150  9.2 11.5  1.65 16.00  5.00 235 1004.4  14.2  13.6 999.0 99.0 99.00
2018 01 09 01 50 144 10.8 13.0  1.97 16.00  5.34 270 1003.3  14.4  13.6 999.0 99.0 99.00
2018 01 09 02 50 137 11.4 13.8  2.00  5.56  5.18 170 1002.3  14.3  13.6 999.0 99.0 99.00
2018 01 09 03 50 143 13.0 16.1  2.09  5.56  4.96 168 1001.6  14.4  13.7 999.0 99.0 99.00
2018 01 09 04 50 143 12.9 15.1  2.28 16.00  5.39 285 1001.1  14.6  13.8 999.0 99.0 99.00
2018 01 09 05 50 142 13.9 16.5  2.48  6.25  5.28 169 1000.6  14.7  13.8 999.0 99.0 99.00
2018 01 09 06 50 141 11.3 14.2  2.80  6.25  5.70 176 1000.4  14.7  13.8 999.0 99.0 99.00
2018 01 09 07 50 142 11.5 14.0  2.86  7.14  5.70 177  999.8  14.7  13.8 999.0 99.0 99.00
2018 01 09 08 50 145 12.2 15.2  2.67  7.69  5.73 187  998.7  14.8  13.9 999.0 99.0 99.00
2018 01 09 09 50 132 11.2 13.9  3.12  7.14  6.11 168  998.1  14.7  13.9 999.0 99.0 99.00
2018 01 09 10 50 131  8.2 10.5  2.71  8.33  6.10 175  998.2  14.4  13.9 999.0 99.0 99.00
2018 01 09 11 50 132  4.9  6.9  2.77 16.00  6.60 278  998.5  14.0  13.9 999.0 99.0 99.00
2018 01 09 12 50 112  3.7  4.9  2.52 14.81  6.83 277  998.3  13.5  13.9 999.0 99.0 99.00
2018 01 09 13 50 132  4.6  6.1  2.52 16.00  7.29 276  999.6  14.1  13.9 999.0 99.0 99.00
2018 01 09 14 50 193  2.1  2.8  2.45 14.81  7.63 278 1000.5  14.0  13.9 999.0 99.0 99.00
2018 01 09 15 50 152  2.0  2.7  2.39 14.81  7.73 272 1001.4  13.9  13.9 999.0 99.0 99.00
2018 01 09 16 50 346  8.3 10.2  2.68  7.69  7.25 198 1002.8  13.1  13.9 999.0 99.0 99.00
2018 01 09 17 50 336  9.3 11.4  3.11  7.14  6.74 282 1004.0  13.2  13.8 999.0 99.0 99.00
2018 01 09 18 50 329 10.5 12.6  3.61 13.79  7.28 302 1004.4  13.2  13.8 999.0 99.0 99.00
2018 01 09 19 50 323 12.2 15.2  3.78  9.09  7.10 291 1004.6  13.1  13.8 999.0 99.0 99.00
